Root,Path,Title,Name,Type,Status,Publication Date,Size (KB),application/gzip,application/json,application/msaccess,application/msword,application/octet-stream,application/pdf,application/vnd.google-earth.kml+xml,application/vnd.google-earth.kmz,application/vnd.ms-excel,application/vnd.ms-excel.sheet.macroenabled.12,application/vnd.ms-powerpoint,application/vnd.oasis.opendocument.spreadsheet,application/vnd.openxmlformats-officedocument.presentationml.presentation,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/x-bibtex,application/x-director,application/x-download,application/x-font-bdf,application/x-gzip,application/x-netcdf,application/x-rar-compressed,application/x-rlang-transport,application/x-sas-system,application/x-spss-sav,application/x-spss-sps,application/x-spss-syntax,application/x-stata,application/x-tar,application/x-xfig,application/zip,application/zipped-shapefile,audio/aac,audio/mp3,audio/mp4,audio/mpeg,audio/wav,audio/x-aiff,audio/x-m4a,audio/x-wave,image/bmp,image/gif,image/jpeg,image/png,image/tiff,image/vnd.dwg,image/x-portable-graymap,text/comma-separated-values,text/csv,text/html,text/plain,text/plain; charset=US-ASCII,text/plain; charset=UTF-8,text/rtf,text/tab-separated-values,text/x-bibtex,text/x-fixed-field,text/x-fortran,text/x-log,text/xml,text/xml-graphml,text/x-python-script,text/x-sas-syntax; charset=US-ASCII,text/x-spss-syntax,text/x-spss-syntax; charset=US-ASCII,text/x-spss-syntax; charset=UTF-8,text/x-stata-syntax; charset=US-ASCII,type/x-r-syntax,video/3gpp,video/avi,video/mp4,video/quicktime,Totals
Carleton University Dataverse,"MacOdrum Library Data Repository, Carleton University Dataverse","Post-Secondary Education Drivers, 2004 [Canada]",11060,Dataset,RELEASED,2015-08-07 15:55:39.070000,5633,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
Carleton University Dataverse,"MacOdrum Library Data Repository, Carleton University Dataverse","Listening to Canadians Wave 14, Winter 2003 [Canada]",11085,Dataset,DRAFT,2015-09-17 16:11:05.340000,17721,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
Carleton University Dataverse,"MacOdrum Library Data Repository, Carleton University Dataverse","Pan-Canadian High School Follow-Up Survey (Class of 2003), 2005 [Canada]",11059,Dataset,RELEASED,2015-08-07 15:53:31.104000,8929,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
Carleton University Dataverse,"MacOdrum Library Data Repository, Carleton University Dataverse","Canadian College Student Survey, 2003 [Canada]",11041,Dataset,RELEASED,2015-07-23 17:43:28.733001,7937,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
Carleton University Dataverse,"MacOdrum Library Data Repository, Carleton University Dataverse","Ontario College Applicant Survey, 2006 [Canada]",11047,Dataset,RELEASED,2015-08-07 15:48:46.148001,8661,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
Carleton University Dataverse,"MacOdrum Library Data Repository, Carleton University Dataverse","Attitudes towards Internationalism & Federalism, 2003 [Canada]",11071,Dataset,RELEASED,2015-08-17 16:36:08.712000,1107,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
Carleton University Dataverse,"MacOdrum Library Data Repository, Carleton University Dataverse","Measuring the Effectiveness of Student Aid, 2005-2008 [Canada]",11043,Dataset,RELEASED,2015-08-07 15:47:40.367000,19193,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
Carleton University Dataverse,"MacOdrum Library Data Repository, Carleton University Dataverse","Canadian Career College Students Survey, 2008 [Canada]: Phase I, II and III",11039,Dataset,RELEASED,2015-07-21 13:17:53.895000,31689,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
Carleton University Dataverse,"MacOdrum Library Data Repository, Carleton University Dataverse","Ontario College Applicant Survey, 2005 [Canada]",11045,Dataset,RELEASED,2015-08-07 15:59:12.964000,40267,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
Carleton University Dataverse,"MacOdrum Library Data Repository, Carleton University Dataverse","Canadian College Student Survey, 2001-2002 [Canada]",11042,Dataset,RELEASED,2015-07-23 17:36:37.953001,10993,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
Carleton University Dataverse,"MacOdrum Library Data Repository, Carleton University Dataverse","Canadian College Student Survey, 2006 [Canada]",10893,Dataset,RELEASED,2015-03-10 15:50:26.293000,4165,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
Carleton University Dataverse,"MacOdrum Library Data Repository, Carleton University Dataverse","Canadian College Student Survey, 2005 [Canada]",10904,Dataset,RELEASED,2015-03-23 10:28:55.756001,4062,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
